fid,REGION,long,Borehole n,Temperatur,pH,Electrical,Total Diss,Turbidity-,Salinity-P,Color-PCU,Nitrate (N,Nitrite (N,Ammonia (N,Phosphate-,Fluoride (,Potassium-,Chloride (,Sulfate (S,Iron (Fe)-,Total Susp,Calcium-mg,magnesium-,Total Hard,Total Coli,E. coli-CF,lat
39,UNGUJA NORTH REGION,39.342350334174007,Matemwe mikuyuni,30.500000000000000,6.410000000000000,527.000000000000000,264.000000000000000,0.550000000000000,0.260000000000000,false,12.400000000000000,0.016000000000000,0.000000000000000,23.3,0.000000000000000,2.000000000000000,27.649999999999999,,0.000000000000000,false,41.600000000000001,4.130000000000000,121,30,15,-5.898
40,UNGUJA NORTH REGION,39.252624892111555,Donge Mbiji (Nje),28.600000000000001,6.820000000000000,648.000000000000000,324.000000000000000,0.610000000000000,0.320000000000000,false,10.800000000000001,0.016000000000000,0.000000000000000,3.07,0.000000000000000,3.700000000000000,37.500000000000000,,0.010000000000000,false,57.200000000000003,6.800000000000000,171,13,0,-5.961
41,UNGUJA NORTH REGION,39.258328976777129,Kinduni (RAK),28.300000000000001,6.470000000000000,792.000000000000000,396.000000000000000,0.720000000000000,0.400000000000000,false,11.100000000000000,0.044000000000000,0.000000000000000,4.28,0.000000000000000,2.000000000000000,62.299999999999997,,0.020000000000000,false,53.200000000000003,12.880000000000001,186,35,0,-5.986
42,UNGUJA NORTH REGION,39.251998874207899,Kitope Mbaleni (RAK),30.600000000000001,6.530000000000000,481.000000000000000,240.000000000000000,1.870000000000000,0.240000000000000,false,11.800000000000001,0.014000000000000,0.000000000000000,5.24,0.000000000000000,1.400000000000000,21.270000000000000,,0.000000000000000,false,43.200000000000003,6.200000000000000,134,47,0,-6.014
43,UNGUJA NORTH REGION,39.315557193602103,Kisongoni Mchina,29.699999999999999,6.680000000000000,1058.000000000000000,529.000000000000000,0.530000000000000,1.060000000000000,false,15.300000000000001,0.028000000000000,0.000000000000000,2.92,0.000000000000000,2.500000000000000,31.899999999999999,,0.000000000000000,false,56.799999999999997,22.370000000000001,234,28,1,-5.981
44,UNGUJA NORTH REGION,39.253130857405445,Donge Mchina - 1,31.500000000000000,6.420000000000000,602.000000000000000,301.000000000000000,1.080000000000000,0.300000000000000,false,7.500000000000000,0.011000000000000,0.000000000000000,5.18,0.000000000000000,1.900000000000000,31.899999999999999,,0.000000000000000,false,512.000000000000000,7.290000000000000,158,0,0,-5.961
45,UNGUJA NORTH REGION,39.303446997262704,Donge- Bandamaji Mchina 1,31.800000000000001,6.210000000000000,649.000000000000000,325.000000000000000,1.950000000000000,0.320000000000000,false,13.400000000000000,0.003000000000000,0.000000000000000,2.98,0.160000000000000,1.300000000000000,36.149999999999999,,0.040000000000000,false,52.000000000000000,6.560000000000000,157,24,0,-5.960
46,UNGUJA NORTH REGION,39.195131389236423,Bumbwini- Kidanzini,,,,,,,,,,,,,,,,,,,,,,,-5.979
47,UNGUJA NORTH REGION,39.194125823431129,Bumbwini Misufini,29.300000000000001,6.900000000000000,696.000000000000000,348.000000000000000,0.430000000000000,0.350000000000000,false,11.900000000000000,0.012000000000000,0.000000000000000,,0.410000000000000,1.600000000000000,20.561000000000000,,0.000000000000000,false,,,165,25,0,-5.972
48,UNGUJA NORTH REGION,39.191014496834853,Bumbwini Uwandani,29.500000000000000,6.250000000000000,728.000000000000000,364.000000000000000,0.600000000000000,0.360000000000000,false,9.400000000000000,0.018000000000000,0.000000000000000,,0.120000000000000,2.000000000000000,21.270000000000000,,0.050000000000000,false,,,167,24,0,-5.962
49,UNGUJA NORTH REGION,39.190792797247319,Dundua (Tank Old),30.100000000000001,6.290000000000000,778.000000000000000,389.000000000000000,0.230000000000000,0.390000000000000,false,76.200000000000003,0.014000000000000,0.000000000000000,,0.780000000000000,20.000000000000000,46.085000000000001,,0.000000000000000,false,,,164,30,0,-5.974
50,UNGUJA NORTH REGION,39.190792797247319,Dundua (Tank new),31.500000000000000,6.550000000000000,744.000000000000000,372.000000000000000,0.310000000000000,0.370000000000000,false,25.600000000000001,0.003000000000000,0.000000000000000,,0.220000000000000,2.000000000000000,36.158999999999999,,0.000000000000000,false,,,159,12,0,-5.974
51,UNGUJA SOUTH REGION,39.546888471459980,Jambiani,27.699999999999999,6.800000000000000,1009.000000000000000,504.500000000000000,1.210000000000000,0.510000000000000,false,1.300000000000000,0.035000000000000,0.000000000000000,8.8,0.500000000000000,2.000000000000000,196.389999999999986,,0.000000000000000,false,40.399999999999999,6.810000000000000,129,42,3,-6.351
52,UNGUJA SOUTH REGION,39.545285883656895,Makundichi,29.000000000000000,6.840000000000000,428.000000000000000,214.000000000000000,0.510000000000000,0.210000000000000,false,0.042000000000000,0.000000000000000,0.000000000000000,19.71,0.550000000000000,80.000000000000000,29.059999999999999,,0.000000000000000,false,27.199999999999999,7.050000000000000,97,11,0,-6.401
53,UNGUJA SOUTH REGION,39.366381758516923,Unguja Ukuu,26.399999999999999,6.500000000000000,924.000000000000000,462.000000000000000,0.530000000000000,0.460000000000000,false,3.300000000000000,0.032000000000000,0.000000000000000,0.88,0.670000000000000,2.500000000000000,148.889999999999986,,0.060000000000000,false,42.000000000000000,11.430000000000000,152,0,0,-6.273
54,UNGUJA SOUTH REGION,39.471096085872347,Muyuni C,29.000000000000000,6.600000000000000,1078.000000000000000,539.000000000000000,1.030000000000000,0.540000000000000,false,5.400000000000000,1.446000000000000,0.000000000000000,5.45,0.530000000000000,4.700000000000000,241.110000000000014,,0.000000000000000,false,48.399999999999999,2.180000000000000,130,2,0,-6.384
55,UNGUJA SOUTH REGION,39.324703517177625,Kibele,28.199999999999999,6.400000000000000,873.000000000000000,436.500000000000000,0.650000000000000,0.430000000000000,false,2.300000000000000,0.050000000000000,0.030000000000000,0.96,0.540000000000000,2.000000000000000,110.599999999999994,,0.000000000000000,false,53.600000000000001,3.640000000000000,153,53,0,-6.225
56,UNGUJA SOUTH REGION,39.312378738086323,Mgeni Haji,24.699999999999999,7.000000000000000,458.000000000000000,229.000000000000000,0.620000000000000,0.230000000000000,false,6.900000000000000,0.012000000000000,0.000000000000000,3.86,1.390000000000000,1.400000000000000,12.050000000000001,,0.000000000000000,false,66.799999999999997,6.000000000000000,144,24,0,-6.095
57,UNGUJA SOUTH REGION,34.966554775751753,Bubwisudi,27.500000000000000,7.520000000000000,593.000000000000000,296.500000000000000,0.950000000000000,0.300000000000000,false,3.300000000000000,0.032000000000000,0.000000000000000,2.32,0.820000000000000,1.100000000000000,29.059999999999999,,0.000000000000000,false,488.000000000000000,4.000000000000000,132,45,0,-6.040
58,UNGUJA SOUTH REGION,39.362597974978051,Bambi,28.000000000000000,6.800000000000000,534.000000000000000,267.000000000000000,0.310000000000000,0.270000000000000,false,19.300000000000001,0.095000000000000,0.000000000000000,0.76,,2.300000000000000,16.300000000000001,,0.150000000000000,false,50.399999999999999,0.720000000000000,129,0,0,-6.080
59,UNGUJA SOUTH REGION,39.316286201987829,Dunga,27.399999999999999,6.400000000000000,584.000000000000000,262.000000000000000,0.510000000000000,0.260000000000000,false,8.699999999999999,0.033000000000000,0.000000000000000,4.19,1.160000000000000,2.100000000000000,14.880000000000001,,0.000000000000000,false,51.200000000000003,1.450000000000000,134,41,0,-6.131
60,UNGUJA SOUTH REGION,39.326542605725429,Kilomberu,28.000000000000000,6.500000000000000,1193.000000000000000,596.500000000000000,0.600000000000000,0.600000000000000,false,7.700000000000000,0.037000000000000,0.000000000000000,9.69,0.570000000000000,2.600000000000000,141.800000000000011,,0.070000000000000,false,55.200000000000003,11.430000000000000,185,16,3,-6.024
