toilet_id,toilet_lat,toilet_long,borehole_id,borehole_type,distance_m,surviving_fio_load,Q_L_per_day,concentration_CFU_per_L
21203,-5.923158000000004,39.35690700000001,privbh_17745,private,9.168906627062075,12683174395.15321,2000.0,6341587.197576605
21625,-5.923394999999998,39.355392,privbh_17704,private,4.953503670326634,101894015456.92403,2000.0,50947007.72846201
21333,-5.921631999999994,39.354028,privbh_17705,private,5.095792785027364,127349397598.88168,2000.0,63674698.79944084
21398,-5.921621999999998,39.35403,privbh_17705,private,5.706429924268202,101817325652.07365,2000.0,50908662.826036826
21383,-5.921604,39.354,privbh_17705,private,9.47180002221239,101434666617.1665,2000.0,50717333.30858325
21407,-5.921587999999998,39.354026,privbh_17705,private,9.101283081613603,101472256842.98984,2000.0,50736128.421494916
21370,-5.922081,39.354614,privbh_17786,private,9.435838316088208,101438314446.42888,2000.0,50719157.22321444
21380,-5.921698999999998,39.354056,privbh_17705,private,4.360597756859621,12744305866.819403,2000.0,6372152.933409701
21457,-5.922124000000002,39.354729,privbh_17786,private,9.554690723061935,101426258975.02266,2000.0,50713129.48751133
21820,-5.927278999999992,39.356227,privbh_17784,private,9.773537089173818,12675508079.435186,2000.0,6337754.039717593
21698,-5.925602999999994,39.35702,privbh_17703,private,5.3112084793817775,127321967494.51585,2000.0,63660983.747257926
21699,-5.925561000000002,39.357074,privbh_17703,private,8.962976436315696,12685786512.623367,2000.0,6342893.256311684
21700,-5.925588000000004,39.357006,privbh_17703,private,3.0804182530566635,127606313135.01825,2000.0,63803156.56750912
21755,-5.925741999999996,39.356249,privbh_17733,private,9.682508604292586,101413295713.98523,2000.0,50706647.85699262
21661,-5.925406000000002,39.356285,privbh_17732,private,4.3210353640819195,101958480576.22002,2000.0,50979240.28811001
