borehole_id,borehole_type,total_surviving_fio_load,Q_L_per_day,concentration_CFU_per_L
privbh_10407,private,126761934157.28812,2000.0,63380967.07864406
privbh_10414,private,101929558850.32115,2000.0,50964779.42516058
privbh_10415,private,12682115851.659748,2000.0,6341057.925829874
privbh_10420,private,12751070815.44082,2000.0,6375535.40772041
privbh_10422,private,253814593306.7716,2000.0,126907296.6533858
privbh_10424,private,127246218361.08646,2000.0,63623109.18054323
privbh_10429,private,12682369524.305813,2000.0,6341184.7621529065
privbh_10430,private,101586276437.45262,2000.0,50793138.21872631
privbh_10431,private,12693985568.535675,2000.0,6346992.784267837
privbh_10432,private,12730110197.660175,2000.0,6365055.098830088
privbh_10434,private,12722718206.07541,2000.0,6361359.103037706
privbh_10435,private,12710708720.100279,2000.0,6355354.360050139
privbh_10437,private,102253125549.71407,2000.0,51126562.77485703
privbh_10443,private,12760717186.336851,2000.0,6380358.593168425
privbh_10445,private,12717864676.027224,2000.0,6358932.338013612
privbh_10446,private,25453847714.330994,2000.0,12726923.857165497
privbh_10447,private,25450755207.769653,2000.0,12725377.603884827
privbh_10449,private,12723201806.323658,2000.0,6361600.903161829
privbh_10451,private,12756228850.437988,2000.0,6378114.425218994
privbh_10452,private,12710613750.226307,2000.0,6355306.875113154
privbh_10453,private,12747630835.644865,2000.0,6373815.417822433
privbh_10455,private,12710061548.854296,2000.0,6355030.774427148
privbh_1046,private,253851685252.4584,2000.0,126925842.6262292
privbh_10461,private,12710781173.171267,2000.0,6355390.586585633
privbh_10463,private,25368862839.495087,2000.0,12684431.419747543
privbh_10464,private,25357360366.15132,2000.0,12678680.18307566
privbh_10471,private,12774452520.475967,2000.0,6387226.260237983
privbh_10483,private,12693349758.042248,2000.0,6346674.879021124
privbh_10486,private,12700912144.021957,2000.0,6350456.072010979
privbh_10487,private,12769428212.295458,2000.0,6384714.106147729
privbh_10491,private,12735165024.756348,2000.0,6367582.512378174
privbh_10493,private,382350597000.1245,2000.0,191175298.50006226
privbh_10497,private,127725779218.77682,2000.0,63862889.60938841
privbh_105,private,127739215087.15701,2000.0,63869607.543578506
privbh_10505,private,253786687423.64255,2000.0,126893343.71182127
privbh_1051,private,101402891639.15729,2000.0,50701445.81957864
privbh_10511,private,12697459835.800962,2000.0,6348729.917900481
privbh_10525,private,202999340427.2307,2000.0,101499670.21361536
privbh_10530,private,12699748319.422117,2000.0,6349874.159711058
privbh_10535,private,12721592762.821823,2000.0,6360796.381410912
privbh_10537,private,127422529966.1974,2000.0,63711264.9830987
privbh_10539,private,25373649457.79972,2000.0,12686824.72889986
privbh_1054,private,25455473596.25923,2000.0,12727736.798129616
privbh_10540,private,126815005561.80186,2000.0,63407502.78090093
privbh_10542,private,127110386276.84718,2000.0,63555193.13842359
privbh_10543,private,12738982167.222034,2000.0,6369491.083611017
privbh_10545,private,12710523772.213802,2000.0,6355261.886106901
privbh_10546,private,63544023956.92755,2000.0,31772011.978463776
privbh_10547,private,12790752320.551264,2000.0,6395376.160275632
privbh_10548,private,101425150970.63393,2000.0,50712575.48531696
privbh_10549,private,101573677823.32413,2000.0,50786838.911662064
privbh_10550,private,101708575214.4113,2000.0,50854287.60720565
privbh_10551,private,101408864096.63866,2000.0,50704432.048319325
privbh_10554,private,127083272123.0233,2000.0,63541636.06151165
privbh_10555,private,38096683350.46083,2000.0,19048341.675230414
privbh_1056,private,101801065937.68066,2000.0,50900532.96884033
privbh_10560,private,127309232744.18498,2000.0,63654616.37209249
privbh_10565,private,127017927754.16714,2000.0,63508963.87708357
privbh_10566,private,101753637384.72972,2000.0,50876818.692364864
privbh_10571,private,12779236269.753199,2000.0,6389618.1348766
privbh_10577,private,254162075545.70648,2000.0,127081037.77285324
privbh_10579,private,139995066748.80878,2000.0,69997533.37440439
privbh_1058,private,12703425631.333582,2000.0,6351712.815666791
privbh_10580,private,114493794456.82298,2000.0,57246897.22841149
privbh_10581,private,127698013762.3282,2000.0,63849006.881164104
privbh_10585,private,12789426618.709312,2000.0,6394713.309354656
privbh_10587,private,254136686393.1505,2000.0,127068343.19657525
privbh_10591,private,126793453261.94055,2000.0,63396726.63097028
privbh_10592,private,126940359528.73283,2000.0,63470179.76436642
privbh_10597,private,101495015067.48529,2000.0,50747507.533742644
privbh_106,private,140125703545.77765,2000.0,70062851.77288882
privbh_1060,private,101913808736.52058,2000.0,50956904.368260294
privbh_10600,private,101665520507.351,2000.0,50832760.2536755
privbh_10601,private,101812400289.89041,2000.0,50906200.144945204
privbh_10603,private,114844628474.03639,2000.0,57422314.2370182
privbh_10604,private,12746521319.895424,2000.0,6373260.659947712
privbh_10606,private,12714617037.987442,2000.0,6357308.518993721
privbh_10607,private,25370459290.11518,2000.0,12685229.64505759
privbh_10608,private,25441493756.595177,2000.0,12720746.878297588
privbh_10614,private,12714360016.677263,2000.0,6357180.008338632
