borehole_id,borehole_type,total_surviving_fio_load,Q_L_per_day,concentration_CFU_per_L
privbh_10242,private,113570288840.0198,2000.0,56785144.4200099
privbh_10244,private,378892490863.82996,2000.0,189446245.431915
privbh_10245,private,251422445795.73785,2000.0,125711222.89786893
privbh_10246,private,400443835873.6389,2000.0,200221917.93681946
privbh_10247,private,313225413932.19183,2000.0,156612706.96609592
privbh_10248,private,201119697748.2458,2000.0,100559848.87412289
privbh_10249,private,424650349266.61993,2000.0,212325174.63330996
privbh_1025,private,113177705212.62927,2000.0,56588852.60631464
privbh_10250,private,12612358348.557072,2000.0,6306179.174278536
privbh_10251,private,631442764667.7683,2000.0,315721382.3338842
privbh_10252,private,200584549627.86197,2000.0,100292274.81393099
privbh_10257,private,25267727659.825012,2000.0,12633863.829912506
privbh_1026,private,12667609781.338062,2000.0,6333804.890669031
privbh_10260,private,101083950353.61143,2000.0,50541975.17680572
privbh_10261,private,12740501923.838526,2000.0,6370250.961919263
privbh_10262,private,12542319419.362768,2000.0,6271159.709681384
privbh_10265,private,12424917185.41014,2000.0,6212458.592705069
privbh_10266,private,12701296191.274937,2000.0,6350648.095637469
privbh_10267,private,125301792692.7316,2000.0,62650896.3463658
privbh_10268,private,511146229037.25305,2000.0,255573114.5186265
privbh_10269,private,126579195500.28032,2000.0,63289597.75014016
privbh_1027,private,99652147597.53496,2000.0,49826073.79876748
privbh_10270,private,137712756783.97684,2000.0,68856378.39198841
privbh_10271,private,125068974195.65752,2000.0,62534487.09782876
privbh_10272,private,24921914735.58574,2000.0,12460957.367792869
privbh_10273,private,114309299527.16418,2000.0,57154649.763582096
privbh_10275,private,12510015289.197311,2000.0,6255007.644598655
privbh_10276,private,124595276520.8564,2000.0,62297638.2604282
privbh_10277,private,150785210533.1151,2000.0,75392605.26655756
privbh_10278,private,162637212165.26938,2000.0,81318606.08263469
privbh_10279,private,137278671052.58911,2000.0,68639335.52629456
privbh_10280,private,124842547297.87003,2000.0,62421273.64893501
privbh_10281,private,199805535443.27014,2000.0,99902767.72163507
privbh_10283,private,12428008117.196068,2000.0,6214004.058598034
privbh_10284,private,327463895447.8918,2000.0,163731947.7239459
privbh_10285,private,12505764780.898891,2000.0,6252882.390449446
privbh_10286,private,314547066662.66516,2000.0,157273533.3313326
privbh_10288,private,37588307274.618195,2000.0,18794153.637309097
privbh_10289,private,112379112437.07457,2000.0,56189556.218537286
privbh_1029,private,12503577695.90031,2000.0,6251788.847950155
privbh_10292,private,12732025126.41316,2000.0,6366012.5632065805
privbh_10293,private,137431869280.48932,2000.0,68715934.64024466
privbh_10294,private,139034225001.81168,2000.0,69517112.50090584
privbh_10295,private,25134382407.92498,2000.0,12567191.20396249
privbh_10296,private,12512340111.263489,2000.0,6256170.055631745
privbh_10297,private,253946972189.9862,2000.0,126973486.0949931
privbh_10298,private,12695906088.041643,2000.0,6347953.044020821
privbh_10299,private,137101176181.71683,2000.0,68550588.09085841
privbh_103,private,50016903561.15324,2000.0,25008451.780576617
privbh_1030,private,99616909394.24696,2000.0,49808454.69712348
privbh_10301,private,149764604270.44183,2000.0,74882302.13522092
privbh_10302,private,25076973997.63764,2000.0,12538486.99881882
privbh_10303,private,152129714910.3271,2000.0,76064857.45516354
privbh_10304,private,37621524260.91159,2000.0,18810762.130455796
privbh_10305,private,63241630599.26871,2000.0,31620815.299634352
privbh_10306,private,37617865856.26065,2000.0,18808932.928130325
privbh_10307,private,12456190018.01753,2000.0,6228095.009008765
privbh_10308,private,25245062159.474857,2000.0,12622531.079737429
privbh_10309,private,62391140974.15221,2000.0,31195570.487076104
privbh_1031,private,514527263475.9368,2000.0,257263631.73796842
privbh_10310,private,137798031665.2589,2000.0,68899015.83262946
privbh_10311,private,125707769232.49155,2000.0,62853884.61624578
privbh_10312,private,163955191767.20514,2000.0,81977595.88360257
privbh_10313,private,125402456637.67938,2000.0,62701228.31883969
privbh_10314,private,276399054221.24133,2000.0,138199527.11062068
privbh_10315,private,176347601325.88928,2000.0,88173800.66294464
privbh_10316,private,37383570365.44198,2000.0,18691785.18272099
privbh_10317,private,124515830745.08188,2000.0,62257915.372540936
privbh_10318,private,139586105327.30078,2000.0,69793052.6636504
privbh_1032,private,163430343225.4187,2000.0,81715171.61270934
privbh_10320,private,137627776590.46564,2000.0,68813888.29523282
privbh_10321,private,50101512643.7435,2000.0,25050756.32187175
privbh_10322,private,37521473547.67499,2000.0,18760736.773837496
privbh_10323,private,239074402170.07477,2000.0,119537201.08503738
privbh_10324,private,137087700943.23827,2000.0,68543850.47161913
privbh_10325,private,12514337043.272991,2000.0,6257168.521636495
privbh_10326,private,25029025676.280518,2000.0,12514512.838140259
privbh_10327,private,113380003838.96237,2000.0,56690001.91948119
privbh_10328,private,136874139125.27234,2000.0,68437069.56263617
privbh_10329,private,149419635037.71024,2000.0,74709817.51885512
privbh_1033,private,326425418841.2964,2000.0,163212709.4206482
privbh_10330,private,279280768209.98364,2000.0,139640384.10499182
privbh_10331,private,137566096365.6196,2000.0,68783048.1828098
privbh_10332,private,627739656562.9396,2000.0,313869828.28146976
privbh_10333,private,639439552397.5667,2000.0,319719776.19878334
privbh_10334,private,363981970024.0013,2000.0,181990985.01200065
privbh_10335,private,476122453433.4795,2000.0,238061226.71673974
privbh_10336,private,375031480519.12115,2000.0,187515740.25956059
privbh_10337,private,12660983212.90014,2000.0,6330491.606450071
privbh_10338,private,227039587184.56247,2000.0,113519793.59228124
privbh_10339,private,124536020977.2609,2000.0,62268010.488630444
privbh_1034,private,490189813145.039,2000.0,245094906.5725195
privbh_10340,private,112589506527.58572,2000.0,56294753.263792865
privbh_10342,private,138704148173.70435,2000.0,69352074.08685218
privbh_10343,private,238924490013.54575,2000.0,119462245.00677288
privbh_10344,private,37595715112.35861,2000.0,18797857.556179307
privbh_10345,private,25104688752.063972,2000.0,12552344.376031986
privbh_10346,private,25167239995.914223,2000.0,12583619.997957112
privbh_10347,private,50077260311.46337,2000.0,25038630.155731685
privbh_10348,private,212152195411.17255,2000.0,106076097.70558627
privbh_10349,private,112211367089.328,2000.0,56105683.544664
privbh_1035,private,252395680790.15253,2000.0,126197840.39507626
privbh_10350,private,12659860379.701256,2000.0,6329930.189850627
privbh_10351,private,25249673896.31129,2000.0,12624836.948155645
privbh_10352,private,136994564656.87172,2000.0,68497282.32843585
privbh_10353,private,1320848307699.1304,2000.0,660424153.8495651
privbh_10354,private,12599937210.65355,2000.0,6299968.6053267745
privbh_10355,private,63280713111.36817,2000.0,31640356.555684086
privbh_10357,private,114498688822.83508,2000.0,57249344.411417544
privbh_1036,private,629108452302.73,2000.0,314554226.151365
privbh_10361,private,388380723752.5368,2000.0,194190361.87626842
privbh_10362,private,488072210235.86523,2000.0,244036105.11793262
privbh_10363,private,149611442702.91885,2000.0,74805721.35145943
privbh_10365,private,200028417179.5633,2000.0,100014208.58978164
privbh_10366,private,300047482075.2499,2000.0,150023741.03762493
privbh_10367,private,253243490536.65753,2000.0,126621745.26832877
privbh_10368,private,62570561041.08305,2000.0,31285280.520541526
privbh_10369,private,12432882136.541264,2000.0,6216441.068270632
privbh_1037,private,1221203198295.854,2000.0,610601599.147927
privbh_10372,private,100701784459.91246,2000.0,50350892.22995623
privbh_10373,private,100526214191.055,2000.0,50263107.0955275
privbh_10374,private,25250153799.750984,2000.0,12625076.899875492
privbh_10376,private,126765478393.34885,2000.0,63382739.19667442
privbh_10377,private,37801600183.20162,2000.0,18900800.09160081
privbh_10379,private,127369365848.00624,2000.0,63684682.92400312
privbh_10380,private,12523956930.42096,2000.0,6261978.46521048
privbh_10386,private,12531080400.858492,2000.0,6265540.200429246
privbh_10387,private,12475804084.617096,2000.0,6237902.0423085475
privbh_10388,private,12553952215.920467,2000.0,6276976.107960233
privbh_10389,private,12427005714.280846,2000.0,6213502.857140423
privbh_1039,private,300589936182.5361,2000.0,150294968.09126803
privbh_10390,private,50479142362.04934,2000.0,25239571.18102467
privbh_10391,private,101411374157.34357,2000.0,50705687.07867178
privbh_10392,private,25015601671.305794,2000.0,12507800.835652897
privbh_10393,private,126472777864.26978,2000.0,63236388.93213489
privbh_10394,private,354158013768.5641,2000.0,177079006.88428205
privbh_10395,private,354220657401.3114,2000.0,177110328.7006557
privbh_10396,private,354107185327.2422,2000.0,177053592.6636211
privbh_10397,private,25031706016.941223,2000.0,12515853.008470612
privbh_10399,private,12480573281.370714,2000.0,6240286.640685357
privbh_104,private,112862975803.70506,2000.0,56431487.90185253
privbh_1040,private,100559181468.76842,2000.0,50279590.73438421
privbh_10400,private,37714586831.00173,2000.0,18857293.415500864
privbh_10401,private,200864531476.20956,2000.0,100432265.73810478
privbh_10402,private,312232287915.46674,2000.0,156116143.95773336
privbh_10403,private,138007489779.7744,2000.0,69003744.88988721
privbh_10404,private,12556380335.652798,2000.0,6278190.167826399
privbh_10405,private,238112908315.5385,2000.0,119056454.15776926
privbh_10406,private,273800018215.31903,2000.0,136900009.10765952
privbh_10407,private,264777237994.00525,2000.0,132388618.99700263
privbh_10408,private,376219294856.47705,2000.0,188109647.4282385
privbh_10409,private,124218655821.79486,2000.0,62109327.910897434
privbh_10410,private,250506327716.40143,2000.0,125253163.85820071
privbh_10411,private,37651690714.7895,2000.0,18825845.357394747
privbh_10412,private,138561708069.25467,2000.0,69280854.03462733
privbh_10413,private,252428921517.52875,2000.0,126214460.75876437
privbh_10414,private,150557936460.1869,2000.0,75278968.23009345
privbh_10415,private,101929558850.32117,2000.0,50964779.42516059
privbh_10416,private,174504020075.9533,2000.0,87252010.03797665
privbh_10417,private,12456251254.620842,2000.0,6228125.627310421
privbh_10418,private,113257077239.4661,2000.0,56628538.61973305
privbh_10420,private,263705826806.999,2000.0,131852913.4034995
privbh_10421,private,576657851729.46,2000.0,288328925.86473
privbh_10422,private,412498000488.9639,2000.0,206249000.24448195
privbh_10423,private,503479540951.88477,2000.0,251739770.47594237
privbh_10424,private,877346087169.5157,2000.0,438673043.58475786
privbh_10425,private,480718759911.64166,2000.0,240359379.95582083
privbh_10426,private,375804779689.0708,2000.0,187902389.8445354
privbh_10427,private,264185379865.1009,2000.0,132092689.93255045
privbh_10428,private,264899538298.56665,2000.0,132449769.14928332
privbh_10429,private,125328787824.1996,2000.0,62664393.9120998
privbh_1043,private,12498649078.448582,2000.0,6249324.539224291
privbh_10430,private,337447668537.6118,2000.0,168723834.26880592
privbh_10431,private,451684343556.7274,2000.0,225842171.7783637
privbh_10432,private,287734512468.49,2000.0,143867256.234245
privbh_10433,private,187922312453.8175,2000.0,93961156.22690876
privbh_10434,private,75105507350.61002,2000.0,37552753.67530501
privbh_10435,private,162696526165.34888,2000.0,81348263.08267444
privbh_10436,private,162794906322.19693,2000.0,81397453.16109847
privbh_10437,private,288662339564.10675,2000.0,144331169.78205338
privbh_10438,private,152679985504.1473,2000.0,76339992.75207366
privbh_10439,private,37480944572.63768,2000.0,18740472.28631884
privbh_1044,private,12660560665.07844,2000.0,6330280.332539219
privbh_10440,private,12519774441.934326,2000.0,6259887.220967163
privbh_10441,private,24970262801.95801,2000.0,12485131.400979007
privbh_10442,private,12599865548.780088,2000.0,6299932.774390045
privbh_10443,private,225987684887.66302,2000.0,112993842.44383152
privbh_10444,private,250536800861.37195,2000.0,125268400.43068597
privbh_10445,private,226876598247.08386,2000.0,113438299.12354194
privbh_10446,private,100481678461.79807,2000.0,50240839.230899036
privbh_10447,private,188185295894.8503,2000.0,94092647.94742516
privbh_10448,private,188765852620.71832,2000.0,94382926.31035917
privbh_10449,private,226157836590.64606,2000.0,113078918.29532303
privbh_1045,private,150345278731.72916,2000.0,75172639.36586457
privbh_10450,private,163649531138.4123,2000.0,81824765.56920615
privbh_10451,private,150378706258.46564,2000.0,75189353.12923282
privbh_10452,private,151405306155.68417,2000.0,75702653.07784209
privbh_10453,private,225462271095.0613,2000.0,112731135.54753065
privbh_10454,private,62864454485.00209,2000.0,31432227.242501047
privbh_10455,private,75297749113.98302,2000.0,37648874.55699151
privbh_10456,private,250796161519.20346,2000.0,125398080.75960173
privbh_10457,private,249737000207.5114,2000.0,124868500.10375571
privbh_10458,private,12465754214.713118,2000.0,6232877.107356559
privbh_10459,private,223985846373.67313,2000.0,111992923.18683657
privbh_1046,private,200545957889.7008,2000.0,100272978.9448504
privbh_10460,private,137739798214.85364,2000.0,68869899.10742682
privbh_10461,private,25103361231.621174,2000.0,12551680.615810586
privbh_10462,private,151776792618.67026,2000.0,75888396.30933513
privbh_10463,private,188640631777.6636,2000.0,94320315.88883181
privbh_10464,private,88327700872.0871,2000.0,44163850.436043546
