borehole_id,borehole_type,Q_L_per_day,total_surviving_fio_load,concentration_CFU_per_100mL,lat,long
privbh_10081,private,2000.0,75955284741.44887,3797764.237072443,-6.2359618,39.2356504
privbh_10082,private,2000.0,75068649003.57338,3753432.450178669,-6.2321135,39.2331992
privbh_10083,private,2000.0,676177208242.7777,33808860.41213889,-6.2312509,39.2326449
privbh_10084,private,2000.0,610358025082.154,30517901.254107703,-6.2306607,39.2329192
privbh_10085,private,2000.0,301542945211.9838,15077147.26059919,-6.2320746,39.2325058
privbh_10088,private,2000.0,156938445915.21765,7846922.295760882,-6.2342256,39.2324087
privbh_10089,private,2000.0,300463898031.251,15023194.901562547,-6.2356939,39.2317113
privbh_1009,private,5000.0,604596768760.0029,12091935.37520006,-6.1461833,39.2534167
privbh_10090,private,2000.0,532716556227.1784,26635827.81135892,-6.2361447,39.2323354
privbh_10092,private,2000.0,445903171987.33435,22295158.599366717,-6.23654,39.2337653
privbh_10093,private,5000.0,77431598385.76791,1548631.9677153584,-6.2368298,39.2329534
privbh_10095,private,2000.0,73248213235.39195,3662410.661769598,-6.2396864,39.2327006
privbh_10096,private,5000.0,588254585372.0026,11765091.707440052,-5.9870883,39.2658004
privbh_101,private,571.4285714285714,248131739438.27747,43423054.40169855,-6.1782343,39.2199335
privbh_10100,private,2000.0,493205193908.77704,24660259.695438854,-5.9862327,39.2691379
privbh_10101,private,2000.0,155125048413.54828,7756252.420677414,-5.9857075,39.2693225
privbh_10102,private,2000.0,1110104149017.5686,55505207.45087843,-5.985456,39.2703962
privbh_10104,private,3000.0,73153093791.85684,2438436.4597285613,-5.9864377,39.2722021
privbh_10107,private,3000.0,511308788942.4623,17043626.298082076,-5.9865612,39.2746309
privbh_10108,private,2000.0,303136944512.1355,15156847.225606775,-5.9873795,39.2725314
privbh_1011,private,2000.0,1931419126230.9392,96570956.31154695,-6.14852,39.2514167
privbh_10110,private,2000.0,442258954175.1332,22112947.70875666,-5.9879139,39.2698
privbh_10111,private,2000.0,367109085380.062,18355454.2690031,-5.9880028,39.2690528
privbh_10112,private,2000.0,365066532177.6592,18253326.608882956,-5.9879708,39.2692693
privbh_10113,private,2000.0,153805687482.67462,7690284.374133731,-5.9911102,39.2715963
privbh_10114,private,2000.0,948294636679.5453,47414731.83397727,-5.9910564,39.2653392
privbh_10116,private,2000.0,75079317526.93713,3753965.8763468564,-5.9933201,39.2630343
privbh_10117,private,5000.0,360683130603.20197,7213662.612064039,-5.9945118,39.2603477
privbh_10118,private,2000.0,146223442488.8722,7311172.12444361,-5.9944974,39.2600582
privbh_10119,private,5000.0,284600083123.46375,5692001.662469274,-5.9888635,39.2588408
privbh_1012,private,142.85714285714286,149267356721.01355,104487149.70470949,-6.1526202,39.2513689
privbh_10120,private,5000.0,536030279105.23035,10720605.582104607,-5.9888507,39.2589366
privbh_10121,private,2000.0,454222621567.2966,22711131.078364827,-5.9886333,39.2594313
privbh_10122,private,2000.0,339906004849.0251,16995300.242451254,-5.988094,39.259474
